Patente,Hora,T_viaje,T_viaje_str,Velocidad
AB005GC,2019-10-03T06:47:05,296,0:04:56,18.243243243243242
AB064TV,2019-10-03T06:47:39,129,0:02:09,41.860465116279066
KOS242,2019-10-03T06:49:31,103,0:01:43,52.42718446601942
AC097HS,2019-10-03T06:49:41,110,0:01:50,49.09090909090909
AD720LL,2019-10-03T06:49:44,115,0:01:55,46.95652173913043
AA185YX,2019-10-03T06:51:16,234,0:03:54,23.07692307692308
AD225DE,2019-10-03T06:51:32,117,0:01:57,46.15384615384616
KIX456,2019-10-03T06:51:44,121,0:02:01,44.62809917355372
OBZ308,2019-10-03T06:51:50,117,0:01:57,46.15384615384616
NAJ126,2019-10-03T06:53:31,106,0:01:46,50.943396226415096
JEU437,2019-10-03T06:55:34,114,0:01:54,47.368421052631575
AD722YW,2019-10-03T06:55:36,115,0:01:55,46.95652173913043
KWY507,2019-10-03T06:57:15,125,0:02:05,43.2
AB354UI,2019-10-03T06:57:25,110,0:01:50,49.09090909090909
FHY834,2019-10-03T06:57:33,313,0:05:13,17.252396166134183
AB827AF,2019-10-03T06:57:35,128,0:02:08,42.1875
AC473XX,2019-10-03T06:57:40,106,0:01:46,50.943396226415096
HET231,2019-10-03T06:57:44,126,0:02:06,42.85714285714286
LOK930,2019-10-03T06:57:45,123,0:02:03,43.90243902439025
OUF819,2019-10-03T06:59:15,96,0:01:36,56.25
AC706KH,2019-10-03T06:59:31,113,0:01:53,47.78761061946903
LUG696,2019-10-03T06:59:40,138,0:02:18,39.130434782608695
HNY149,2019-10-03T07:01:46,163,0:02:43,33.128834355828225
AA207GT,2019-10-03T07:05:23,103,0:01:43,52.42718446601942
NGU135,2019-10-03T07:05:32,108,0:01:48,50.0
AD886IF,2019-10-03T07:05:35,130,0:02:10,41.53846153846154
HHF753,2019-10-03T07:07:05,234,0:03:54,23.07692307692308
AA985VD,2019-10-03T07:07:47,133,0:02:13,40.6015037593985
AC135GP,2019-10-03T07:08:57,205,0:03:25,26.34146341463415
AD225BD,2019-10-03T07:09:38,131,0:02:11,41.221374045801525
AB468ID,2019-10-03T07:09:44,117,0:01:57,46.15384615384616
JIW072,2019-10-03T07:09:51,134,0:02:14,40.298507462686565
AA939HU,2019-10-03T07:09:53,150,0:02:30,36.0
PGI694,2019-10-03T07:09:54,134,0:02:14,40.298507462686565
LMD525,2019-10-03T07:11:41,120,0:02:00,45.0
AA752NC,2019-10-03T07:11:52,135,0:02:15,40.0
IYJ034,2019-10-03T07:13:34,127,0:02:07,42.51968503937008
KTY478,2019-10-03T07:13:42,110,0:01:50,49.09090909090909
AA303YL,2019-10-03T07:13:45,132,0:02:12,40.90909090909091
HBB289,2019-10-03T07:13:47,119,0:01:59,45.378151260504204
AD503HI,2019-10-03T07:14:53,186,0:03:06,29.032258064516128
AC024PW,2019-10-03T07:14:59,294,0:04:54,18.367346938775512
GFR334,2019-10-03T07:15:02,185,0:03:05,29.189189189189193
AC558XL,2019-10-03T07:15:55,119,0:01:59,45.378151260504204
AA028GZ,2019-10-03T07:17:36,122,0:02:02,44.26229508196722
AA279JC,2019-10-03T07:17:42,125,0:02:05,43.2
